pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
K2-239,b,K2-239 b,Transit,0,3,5.24,0.0441,,88.99,,,0.098,,0,0,1,0,10h42m22.63s,160.594299,+04d26m28.9s,4.441349,49,14.549,V (Johnson),13.437,3420,0.4,0.36,2018-06-21,K2
K2-239,c,K2-239 c,Transit,0,3,7.775,0.0576,,88.77,,,0.089,,0,0,1,0,10h42m22.63s,160.594299,+04d26m28.9s,4.441349,49,14.549,V (Johnson),13.437,3420,0.4,0.36,2018-06-21,K2
K2-239,d,K2-239 d,Transit,0,3,10.115,0.0685,,89.43,,,0.098,,0,0,1,0,10h42m22.63s,160.594299,+04d26m28.9s,4.441349,49,14.549,V (Johnson),13.437,3420,0.4,0.36,2018-06-21,K2
K2-24,b,K2-24 b,Transit,0,2,20.88977,,0.06,,0.05978,Mass,0.482,0.64,1,0,1,0,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,171.39,11.07,V (Johnson),10.907,5625,1.07,1.16,2018-12-13,K2
K2-24,c,K2-24 c,Transit,0,2,42.3391,,0.07,,0.04845,Mass,0.669,0.2,1,0,1,0,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,171.39,11.07,V (Johnson),10.907,5625,1.07,1.16,2018-12-13,K2
K2-240,b,K2-240 b,Transit,0,2,6.034,0.0513,,89.26,,,0.178,,0,0,1,0,15h11m23.91s,227.849609,-17d52m30.8s,-17.875217,70,13.392,V (Johnson),12.621,3810,0.58,0.54,2018-06-21,K2
K2-240,c,K2-240 c,Transit,0,2,20.523,0.1159,,89.66,,,0.161,,0,0,1,0,15h11m23.91s,227.849609,-17d52m30.8s,-17.875217,70,13.392,V (Johnson),12.621,3810,0.58,0.54,2018-06-21,K2
K2-241,b,K2-241 b,Transit,0,1,26.8199,0.1567,,,,,0.227,,0,0,1,0,12h04m57.45s,181.239365,-06d48m17.7s,-6.804924,149.6,11.97,V (Johnson),11.756,5262,0.71,0.75,2018-07-12,K2
K2-242,b,K2-242 b,Transit,0,1,6.51389,0.0494,,,,,0.227,,0,0,1,0,11h59m20.62s,179.835907,-06d31m04.3s,-6.517851,109.6,16.588,V (Johnson),15.382,3459,0.38,0.37,2018-07-12,K2
K2-243,b,K2-243 b,Transit,0,2,11.54182,0.1087,,,,,0.194,,0,0,1,0,12h04m29.14s,181.121399,-04d53m57.1s,-4.899185,269.2,10.97,V (Johnson),10.742,6570,1.29,1.39,2018-07-12,K2
