gene_id,gene_short_name,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,A0,t_half
YDR228C,PCF11,57.9905792851615,12.595013618540301,1.58254738236678,3.2030533377118795,3.26268883966542,2.20366727004126,3.7131326844753,1.9628196739589,1.82861721264814,2.2999099999999997,2.52730421327597,1.10540699603311,57.96437139680058,2.2737731233496117
YDR229W,IVY1,60.768846847526206,13.1331885550771,6.875696867045209,4.63878387595759,6.075157918156981,1.9148491946755701,2.6887437683009,3.55325714337094,3.53101288826787,2.22054,6.10020090473264,4.00221332983109,60.35635988078639,2.584509391854274
YDR230W,YDR230W,131.102075687154,46.697517010426104,24.4478751739537,21.2066972035813,5.4003441890331505,10.2129548857574,12.9064607345174,45.4835046374747,21.1869501060912,13.3238,0.0,12.8076172883653,127.16124983451472,4.3784553264060095
YDR231C,COX20,80.2288378455615,48.989011321396205,32.059236651185,11.123623126596,24.5497983683968,14.2854330824461,10.530904346581801,9.94068466887532,9.87844539460746,9.31834,10.239625500307302,17.9146981210245,74.17320756324806,9.830184796823277
YDR232W,HEM1,442.725297525254,176.237133714869,41.6884703778548,6.913259104359981,7.58361003708189,4.60988733962019,6.90450067695997,7.98397469840853,1.41678107602339,3.1183799999999997,6.8533792009834,2.56936069004218,445.87442825965564,3.3840145426769865
YDR233C,RTN1,3845.0083965349604,2814.06639222575,1632.3630641021398,667.5842210884709,291.4333162475,138.327312367291,122.91250153432699,79.4117861864811,83.6971581120944,73.3122,95.0201331776275,77.2483795142423,4040.5862967603584,6.827334113964074
YDR234W,LYS4,274.074196530989,148.009311287398,58.8814885040184,13.892502993978601,7.07553162906845,3.1484722406099097,3.97882966493608,3.06726824024955,3.2657791243595695,6.8458,5.2658321899201,5.92254182297932,279.08967072550087,4.612007360103371
YDR236C,FMN1,228.688016928298,138.041278082502,76.1761877997231,40.6628832904236,32.7906428891956,17.950873786578697,20.6229029420011,7.26771754639204,11.284683932619199,8.515889999999999,6.23856238844499,14.3254887109243,227.6641338173928,6.729804596483046
YDR237W,MRPL7,305.75161711484697,153.971018948323,94.3719926323949,25.0130461176322,13.897387103763599,3.285278342659,4.6130232870876196,17.0695824315445,4.54356904052166,12.3817,8.372799891210821,17.8529723219003,306.62376843877007,5.099332974881241
YDR238C,SEC26,294.668842019091,203.597325351315,110.007967279088,39.8068991393533,18.6922409357779,7.6138726436165705,3.66548485783067,1.8165246539358002,1.8803668390001598,1.6555,1.03953045089121,2.38705086916421,307.5734701327031,6.209130483051039
YDR240C,SNU56,57.8895954394808,3.94846152311877,0.0,0.0,2.4353178330094503,2.3027858694304304,0.0,1.28193826826805,0.0,1.0014,0.0,1.44390982034069,57.89065226965154,1.2866669629961858
YDR245W,MNN10,496.40830988906305,188.335195568903,56.9891938475197,7.06197619087651,6.39414479079243,3.0231017015837,4.45711833889249,4.20731920315666,4.1809755550380405,7.88783,10.1123086299939,1.8955652690113798,498.63861329615605,3.3605145214412553
YDR246W-A,YDR246W-A,55.6360399392725,89.1768259859474,0.0,0.0,27.501009730475698,0.0,21.9084234631758,0.0,107.893230864773,22.6168,0.0,65.2220553132173,44.50320123570881,49.99999999999436
YDR246W,TRS23,93.647975194983,53.74137412737989,54.3306493165751,8.41568026187199,15.4301635481267,3.2423248722855402,1.3658081585825301,5.4149147682646,2.24208754799979,5.6399,18.592480749846303,4.06605335908281,93.86347527373037,7.335275719060776
YDR248C,YDR248C,131.808154736153,38.0063806210335,32.772623105922605,24.3666732779185,22.751938368021303,25.425431982578502,11.534171841804199,8.71017067684306,0.0,8.50507,3.7383871770129105,14.7160137471159,121.96271033672542,5.25853956168821
YDR251W,PAM1,72.1901197940027,29.896652422937397,12.3669924737794,5.69896794432593,2.73177652049831,2.58312854113883,1.08812575564858,1.07849781187277,4.0190454215184,2.24662,0.0,1.6196825388704699,72.01372839265998,4.006127709566415
YDR253C,MET32,57.400429691004,36.347897608794206,4.75733017789586,10.316598188963999,2.10173254353602,11.924113956507401,3.34865042465493,0.0,0.0,0.0,0.0,2.49225204412831,58.400117681202346,5.210176081744497
